case_id,activity,timestamp,region,customer,material_id,quantity,priority,event_date,is_high_priority,next_activity,next_timestamp,transition,duration_hours,sla_threshold_hours,is_sla_violation
ORD-0003,Quality Check,2025-03-31 18:33:24,CN,CUST-CN-1711,MAT-10093,101,High,2025-03-31,1,Shipping Started,2025-04-01 00:35:48,Quality Check → Shipping Started,6.04,24,False
ORD-0003,Shipping Started,2025-04-01 00:35:48,CN,CUST-CN-1711,MAT-10093,101,High,2025-04-01,1,Delivered,2025-04-02 05:47:12,Shipping Started → Delivered,29.19,72,False
ORD-0004,Order Created,2025-06-19 11:49:00,CN,CUST-CN-5741,MAT-10010,21,Normal,2025-06-19,0,Order Approved,2025-06-19 15:53:12,Order Created → Order Approved,4.07,12,False
ORD-0004,Order Approved,2025-06-19 15:53:12,CN,CUST-CN-5741,MAT-10010,21,Normal,2025-06-19,0,Production Started,2025-06-20 16:30:24,Order Approved → Production Started,24.62,24,True
ORD-0004,Production Started,2025-06-20 16:30:24,CN,CUST-CN-5741,MAT-10010,21,Normal,2025-06-20,0,Quality Check,2025-06-21 22:37:36,Production Started → Quality Check,30.12,48,False
ORD-0004,Quality Check,2025-06-21 22:37:36,CN,CUST-CN-5741,MAT-10010,21,Normal,2025-06-21,0,Shipping Started,2025-06-22 12:01:00,Quality Check → Shipping Started,13.39,24,False
ORD-0004,Shipping Started,2025-06-22 12:01:00,CN,CUST-CN-5741,MAT-10010,21,Normal,2025-06-22,0,Delivered,2025-06-23 14:56:48,Shipping Started → Delivered,26.93,72,False
ORD-0005,Order Created,2025-06-24 09:38:00,CN,CUST-CN-3803,MAT-10068,249,Normal,2025-06-24,0,Order Approved,2025-06-24 13:22:24,Order Created → Order Approved,3.74,12,False
ORD-0005,Order Approved,2025-06-24 13:22:24,CN,CUST-CN-3803,MAT-10068,249,Normal,2025-06-24,0,Production Started,2025-06-25 02:51:12,Order Approved → Production Started,13.48,24,False
ORD-0005,Production Started,2025-06-25 02:51:12,CN,CUST-CN-3803,MAT-10068,249,Normal,2025-06-25,0,Quality Check,2025-06-26 23:07:24,Production Started → Quality Check,44.27,48,False
ORD-0005,Quality Check,2025-06-26 23:07:24,CN,CUST-CN-3803,MAT-10068,249,Normal,2025-06-26,0,Shipping Started,2025-06-27 10:48:12,Quality Check → Shipping Started,11.68,24,False
ORD-0005,Shipping Started,2025-06-27 10:48:12,CN,CUST-CN-3803,MAT-10068,249,Normal,2025-06-27,0,Delivered,2025-06-29 02:13:24,Shipping Started → Delivered,39.42,72,False
ORD-0006,Order Created,2025-01-09 13:25:00,CN,CUST-CN-5386,MAT-10008,68,Normal,2025-01-09,0,Order Approved,2025-01-09 15:47:12,Order Created → Order Approved,2.37,12,False
ORD-0006,Order Approved,2025-01-09 15:47:12,CN,CUST-CN-5386,MAT-10008,68,Normal,2025-01-09,0,Production Started,2025-01-10 17:37:00,Order Approved → Production Started,25.83,24,True
ORD-0006,Production Started,2025-01-10 17:37:00,CN,CUST-CN-5386,MAT-10008,68,Normal,2025-01-10,0,Quality Check,2025-01-11 20:04:36,Production Started → Quality Check,26.46,48,False
ORD-0006,Quality Check,2025-01-11 20:04:36,CN,CUST-CN-5386,MAT-10008,68,Normal,2025-01-11,0,Shipping Started,2025-01-12 07:53:48,Quality Check → Shipping Started,11.82,24,False
ORD-0006,Shipping Started,2025-01-12 07:53:48,CN,CUST-CN-5386,MAT-10008,68,Normal,2025-01-12,0,Delivered,2025-01-13 18:12:24,Shipping Started → Delivered,34.31,72,False
ORD-0007,Order Created,2025-05-24 16:16:00,BR,CUST-BR-8019,MAT-10074,200,High,2025-05-24,1,Order Approved,2025-05-24 18:22:00,Order Created → Order Approved,2.1,12,False
ORD-0007,Order Approved,2025-05-24 18:22:00,BR,CUST-BR-8019,MAT-10074,200,High,2025-05-24,1,Production Started,2025-05-25 04:52:36,Order Approved → Production Started,10.51,24,False
ORD-0007,Production Started,2025-05-25 04:52:36,BR,CUST-BR-8019,MAT-10074,200,High,2025-05-25,1,Quality Check,2025-05-26 04:00:24,Production Started → Quality Check,23.13,48,False
ORD-0007,Quality Check,2025-05-26 04:00:24,BR,CUST-BR-8019,MAT-10074,200,High,2025-05-26,1,Shipping Started,2025-05-26 09:01:00,Quality Check → Shipping Started,5.01,24,False
ORD-0007,Shipping Started,2025-05-26 09:01:00,BR,CUST-BR-8019,MAT-10074,200,High,2025-05-26,1,Delivered,2025-05-27 02:02:48,Shipping Started → Delivered,17.03,72,False
ORD-0008,Order Created,2025-04-19 17:04:00,DE,CUST-DE-7304,MAT-10048,184,Normal,2025-04-19,0,Order Approved,2025-04-19 19:22:36,Order Created → Order Approved,2.31,12,False
ORD-0008,Order Approved,2025-04-19 19:22:36,DE,CUST-DE-7304,MAT-10048,184,Normal,2025-04-19,0,Production Started,2025-04-20 07:51:24,Order Approved → Production Started,12.48,24,False
ORD-0008,Production Started,2025-04-20 07:51:24,DE,CUST-DE-7304,MAT-10048,184,Normal,2025-04-20,0,Quality Check,2025-04-21 00:45:24,Production Started → Quality Check,16.9,48,False
ORD-0008,Quality Check,2025-04-21 00:45:24,DE,CUST-DE-7304,MAT-10048,184,Normal,2025-04-21,0,Shipping Started,2025-04-21 08:11:48,Quality Check → Shipping Started,7.44,24,False
ORD-0008,Shipping Started,2025-04-21 08:11:48,DE,CUST-DE-7304,MAT-10048,184,Normal,2025-04-21,0,Delivered,2025-04-22 19:24:24,Shipping Started → Delivered,35.21,72,False
ORD-0009,Order Created,2025-06-14 13:07:00,DE,CUST-DE-5808,MAT-10055,78,Normal,2025-06-14,0,Order Approved,2025-06-14 14:38:12,Order Created → Order Approved,1.52,12,False
ORD-0009,Order Approved,2025-06-14 14:38:12,DE,CUST-DE-5808,MAT-10055,78,Normal,2025-06-14,0,Production Started,2025-06-14 22:05:48,Order Approved → Production Started,7.46,24,False
ORD-0009,Production Started,2025-06-14 22:05:48,DE,CUST-DE-5808,MAT-10055,78,Normal,2025-06-14,0,Quality Check,2025-06-15 23:28:00,Production Started → Quality Check,25.37,48,False
ORD-0009,Quality Check,2025-06-15 23:28:00,DE,CUST-DE-5808,MAT-10055,78,Normal,2025-06-15,0,Shipping Started,2025-06-16 07:54:24,Quality Check → Shipping Started,8.44,24,False
ORD-0009,Shipping Started,2025-06-16 07:54:24,DE,CUST-DE-5808,MAT-10055,78,Normal,2025-06-16,0,Delivered,2025-06-17 19:44:48,Shipping Started → Delivered,35.84,72,False
ORD-0010,Order Created,2025-03-18 16:38:00,US,CUST-US-4258,MAT-10019,890,Normal,2025-03-18,0,Order Approved,2025-03-18 19:11:00,Order Created → Order Approved,2.55,12,False
ORD-0010,Order Approved,2025-03-18 19:11:00,US,CUST-US-4258,MAT-10019,890,Normal,2025-03-18,0,Production Started,2025-03-19 07:24:48,Order Approved → Production Started,12.23,24,False
ORD-0010,Production Started,2025-03-19 07:24:48,US,CUST-US-4258,MAT-10019,890,Normal,2025-03-19,0,Quality Check,2025-03-20 22:47:36,Production Started → Quality Check,39.38,48,False
ORD-0010,Quality Check,2025-03-20 22:47:36,US,CUST-US-4258,MAT-10019,890,Normal,2025-03-20,0,Shipping Started,2025-03-21 11:40:24,Quality Check → Shipping Started,12.88,24,False
ORD-0010,Shipping Started,2025-03-21 11:40:24,US,CUST-US-4258,MAT-10019,890,Normal,2025-03-21,0,Delivered,2025-03-23 09:55:24,Shipping Started → Delivered,46.25,72,False
ORD-0011,Order Created,2025-03-20 11:03:00,IN,CUST-IN-4946,MAT-10072,621,Normal,2025-03-20,0,Order Approved,2025-03-20 15:10:12,Order Created → Order Approved,4.12,12,False
ORD-0011,Order Approved,2025-03-20 15:10:12,IN,CUST-IN-4946,MAT-10072,621,Normal,2025-03-20,0,Production Started,2025-03-21 02:51:36,Order Approved → Production Started,11.69,24,False
ORD-0011,Production Started,2025-03-21 02:51:36,IN,CUST-IN-4946,MAT-10072,621,Normal,2025-03-21,0,Quality Check,2025-03-22 08:25:48,Production Started → Quality Check,29.57,48,False
ORD-0011,Quality Check,2025-03-22 08:25:48,IN,CUST-IN-4946,MAT-10072,621,Normal,2025-03-22,0,Shipping Started,2025-03-22 14:47:24,Quality Check → Shipping Started,6.36,24,False
ORD-0011,Shipping Started,2025-03-22 14:47:24,IN,CUST-IN-4946,MAT-10072,621,Normal,2025-03-22,0,Delivered,2025-03-24 10:34:48,Shipping Started → Delivered,43.79,72,False
ORD-0012,Order Created,2025-02-12 12:33:00,US,CUST-US-7932,MAT-10027,150,High,2025-02-12,1,Order Approved,2025-02-12 15:16:12,Order Created → Order Approved,2.72,12,False
ORD-0012,Order Approved,2025-02-12 15:16:12,US,CUST-US-7932,MAT-10027,150,High,2025-02-12,1,Production Started,2025-02-13 05:48:36,Order Approved → Production Started,14.54,24,False
ORD-0012,Production Started,2025-02-13 05:48:36,US,CUST-US-7932,MAT-10027,150,High,2025-02-13,1,Quality Check,2025-02-14 04:57:00,Production Started → Quality Check,23.14,48,False
ORD-0012,Quality Check,2025-02-14 04:57:00,US,CUST-US-7932,MAT-10027,150,High,2025-02-14,1,Shipping Started,2025-02-14 12:47:24,Quality Check → Shipping Started,7.84,24,False
ORD-0012,Shipping Started,2025-02-14 12:47:24,US,CUST-US-7932,MAT-10027,150,High,2025-02-14,1,Delivered,2025-02-15 10:41:24,Shipping Started → Delivered,21.9,72,False
ORD-0013,Order Created,2025-03-05 11:04:00,CN,CUST-CN-6539,MAT-10002,40,Normal,2025-03-05,0,Order Approved,2025-03-05 14:26:12,Order Created → Order Approved,3.37,12,False
ORD-0013,Order Approved,2025-03-05 14:26:12,CN,CUST-CN-6539,MAT-10002,40,Normal,2025-03-05,0,Production Started,2025-03-08 10:05:12,Order Approved → Production Started,67.65,24,True
ORD-0013,Production Started,2025-03-08 10:05:12,CN,CUST-CN-6539,MAT-10002,40,Normal,2025-03-08,0,Quality Check,2025-03-09 20:53:48,Production Started → Quality Check,34.81,48,False
ORD-0013,Quality Check,2025-03-09 20:53:48,CN,CUST-CN-6539,MAT-10002,40,Normal,2025-03-09,0,Shipping Started,2025-03-10 04:57:24,Quality Check → Shipping Started,8.06,24,False
ORD-0013,Shipping Started,2025-03-10 04:57:24,CN,CUST-CN-6539,MAT-10002,40,Normal,2025-03-10,0,Delivered,2025-03-12 07:25:00,Shipping Started → Delivered,50.46,72,False
ORD-0014,Order Created,2025-05-05 11:34:00,CN,CUST-CN-3167,MAT-10092,181,High,2025-05-05,1,Order Approved,2025-05-05 14:34:00,Order Created → Order Approved,3.0,12,False
ORD-0014,Order Approved,2025-05-05 14:34:00,CN,CUST-CN-3167,MAT-10092,181,High,2025-05-05,1,Production Started,2025-05-06 04:31:00,Order Approved → Production Started,13.95,24,False
ORD-0014,Production Started,2025-05-06 04:31:00,CN,CUST-CN-3167,MAT-10092,181,High,2025-05-06,1,Quality Check,2025-05-07 07:43:00,Production Started → Quality Check,27.2,48,False
ORD-0014,Quality Check,2025-05-07 07:43:00,CN,CUST-CN-3167,MAT-10092,181,High,2025-05-07,1,Shipping Started,2025-05-07 16:55:36,Quality Check → Shipping Started,9.21,24,False
ORD-0014,Shipping Started,2025-05-07 16:55:36,CN,CUST-CN-3167,MAT-10092,181,High,2025-05-07,1,Delivered,2025-05-08 12:23:48,Shipping Started → Delivered,19.47,72,False
ORD-0015,Order Created,2025-04-30 08:43:00,DE,CUST-DE-2612,MAT-10007,115,Normal,2025-04-30,0,Order Approved,2025-04-30 10:40:36,Order Created → Order Approved,1.96,12,False
ORD-0015,Order Approved,2025-04-30 10:40:36,DE,CUST-DE-2612,MAT-10007,115,Normal,2025-04-30,0,Production Started,2025-04-30 21:46:00,Order Approved → Production Started,11.09,24,False
ORD-0015,Production Started,2025-04-30 21:46:00,DE,CUST-DE-2612,MAT-10007,115,Normal,2025-04-30,0,Quality Check,2025-05-02 01:39:24,Production Started → Quality Check,27.89,48,False
ORD-0015,Quality Check,2025-05-02 01:39:24,DE,CUST-DE-2612,MAT-10007,115,Normal,2025-05-02,0,Shipping Started,2025-05-02 07:16:36,Quality Check → Shipping Started,5.62,24,False
ORD-0015,Shipping Started,2025-05-02 07:16:36,DE,CUST-DE-2612,MAT-10007,115,Normal,2025-05-02,0,Delivered,2025-05-03 02:14:12,Shipping Started → Delivered,18.96,72,False
ORD-0016,Order Created,2025-03-05 09:28:00,BR,CUST-BR-2604,MAT-10006,128,High,2025-03-05,1,Order Approved,2025-03-05 12:03:24,Order Created → Order Approved,2.59,12,False
ORD-0016,Order Approved,2025-03-05 12:03:24,BR,CUST-BR-2604,MAT-10006,128,High,2025-03-05,1,Production Started,2025-03-07 16:35:48,Order Approved → Production Started,52.54,24,True
ORD-0016,Production Started,2025-03-07 16:35:48,BR,CUST-BR-2604,MAT-10006,128,High,2025-03-07,1,Quality Check,2025-03-08 20:26:12,Production Started → Quality Check,27.84,48,False
ORD-0016,Quality Check,2025-03-08 20:26:12,BR,CUST-BR-2604,MAT-10006,128,High,2025-03-08,1,Shipping Started,2025-03-09 02:23:12,Quality Check → Shipping Started,5.95,24,False
ORD-0016,Shipping Started,2025-03-09 02:23:12,BR,CUST-BR-2604,MAT-10006,128,High,2025-03-09,1,Delivered,2025-03-10 03:44:48,Shipping Started → Delivered,25.36,72,False
ORD-0017,Order Created,2025-02-12 14:00:00,BR,CUST-BR-7396,MAT-10033,25,Normal,2025-02-12,0,Order Approved,2025-02-12 18:27:00,Order Created → Order Approved,4.45,12,False
ORD-0017,Order Approved,2025-02-12 18:27:00,BR,CUST-BR-7396,MAT-10033,25,Normal,2025-02-12,0,Production Started,2025-02-13 18:50:24,Order Approved → Production Started,24.39,24,True
ORD-0017,Production Started,2025-02-13 18:50:24,BR,CUST-BR-7396,MAT-10033,25,Normal,2025-02-13,0,Quality Check,2025-02-15 09:02:24,Production Started → Quality Check,38.2,48,False
ORD-0017,Quality Check,2025-02-15 09:02:24,BR,CUST-BR-7396,MAT-10033,25,Normal,2025-02-15,0,Shipping Started,2025-02-15 22:05:24,Quality Check → Shipping Started,13.05,24,False
ORD-0017,Shipping Started,2025-02-15 22:05:24,BR,CUST-BR-7396,MAT-10033,25,Normal,2025-02-15,0,Delivered,2025-02-17 22:48:00,Shipping Started → Delivered,48.71,72,False
ORD-0018,Order Created,2025-05-29 16:03:00,BR,CUST-BR-6138,MAT-10007,24,Normal,2025-05-29,0,Order Approved,2025-05-29 18:05:24,Order Created → Order Approved,2.04,12,False
ORD-0018,Order Approved,2025-05-29 18:05:24,BR,CUST-BR-6138,MAT-10007,24,Normal,2025-05-29,0,Production Started,2025-05-30 13:22:12,Order Approved → Production Started,19.28,24,False
ORD-0018,Production Started,2025-05-30 13:22:12,BR,CUST-BR-6138,MAT-10007,24,Normal,2025-05-30,0,Quality Check,2025-05-31 23:00:00,Production Started → Quality Check,33.63,48,False
ORD-0018,Quality Check,2025-05-31 23:00:00,BR,CUST-BR-6138,MAT-10007,24,Normal,2025-05-31,0,Shipping Started,2025-06-01 05:51:00,Quality Check → Shipping Started,6.85,24,False
ORD-0018,Shipping Started,2025-06-01 05:51:00,BR,CUST-BR-6138,MAT-10007,24,Normal,2025-06-01,0,Delivered,2025-06-02 21:26:24,Shipping Started → Delivered,39.59,72,False
ORD-0019,Order Created,2025-04-14 09:56:00,US,CUST-US-5033,MAT-10074,490,High,2025-04-14,1,Order Approved,2025-04-14 12:05:00,Order Created → Order Approved,2.15,12,False
ORD-0019,Order Approved,2025-04-14 12:05:00,US,CUST-US-5033,MAT-10074,490,High,2025-04-14,1,Production Started,2025-04-15 01:15:12,Order Approved → Production Started,13.17,24,False
ORD-0019,Production Started,2025-04-15 01:15:12,US,CUST-US-5033,MAT-10074,490,High,2025-04-15,1,Quality Check,2025-04-15 19:50:36,Production Started → Quality Check,18.59,48,False
ORD-0019,Quality Check,2025-04-15 19:50:36,US,CUST-US-5033,MAT-10074,490,High,2025-04-15,1,Shipping Started,2025-04-16 02:57:48,Quality Check → Shipping Started,7.12,24,False
ORD-0019,Shipping Started,2025-04-16 02:57:48,US,CUST-US-5033,MAT-10074,490,High,2025-04-16,1,Delivered,2025-04-17 03:21:48,Shipping Started → Delivered,24.4,72,False
ORD-0020,Order Created,2025-03-09 14:08:00,CN,CUST-CN-5915,MAT-10058,71,Normal,2025-03-09,0,Order Approved,2025-03-09 16:47:00,Order Created → Order Approved,2.65,12,False
ORD-0020,Order Approved,2025-03-09 16:47:00,CN,CUST-CN-5915,MAT-10058,71,Normal,2025-03-09,0,Production Started,2025-03-14 00:35:00,Order Approved → Production Started,103.8,24,True
ORD-0020,Production Started,2025-03-14 00:35:00,CN,CUST-CN-5915,MAT-10058,71,Normal,2025-03-14,0,Quality Check,2025-03-15 21:05:36,Production Started → Quality Check,44.51,48,False
ORD-0020,Quality Check,2025-03-15 21:05:36,CN,CUST-CN-5915,MAT-10058,71,Normal,2025-03-15,0,Shipping Started,2025-03-16 11:54:48,Quality Check → Shipping Started,14.82,24,False
ORD-0020,Shipping Started,2025-03-16 11:54:48,CN,CUST-CN-5915,MAT-10058,71,Normal,2025-03-16,0,Delivered,2025-03-17 12:00:48,Shipping Started → Delivered,24.1,72,False
ORD-0021,Order Created,2025-01-18 11:23:00,US,CUST-US-5669,MAT-10020,99,Normal,2025-01-18,0,Order Approved,2025-01-18 14:05:00,Order Created → Order Approved,2.7,12,False
ORD-0021,Order Approved,2025-01-18 14:05:00,US,CUST-US-5669,MAT-10020,99,Normal,2025-01-18,0,Production Started,2025-01-19 07:48:12,Order Approved → Production Started,17.72,24,False
ORD-0021,Production Started,2025-01-19 07:48:12,US,CUST-US-5669,MAT-10020,99,Normal,2025-01-19,0,Quality Check,2025-01-20 07:33:48,Production Started → Quality Check,23.76,48,False
ORD-0021,Quality Check,2025-01-20 07:33:48,US,CUST-US-5669,MAT-10020,99,Normal,2025-01-20,0,Shipping Started,2025-01-20 20:56:00,Quality Check → Shipping Started,13.37,24,False
ORD-0021,Shipping Started,2025-01-20 20:56:00,US,CUST-US-5669,MAT-10020,99,Normal,2025-01-20,0,Delivered,2025-01-22 15:58:24,Shipping Started → Delivered,43.04,72,False
ORD-0022,Order Created,2025-06-19 09:56:00,IN,CUST-IN-3200,MAT-10033,86,High,2025-06-19,1,Order Approved,2025-06-19 11:21:12,Order Created → Order Approved,1.42,12,False
ORD-0022,Order Approved,2025-06-19 11:21:12,IN,CUST-IN-3200,MAT-10033,86,High,2025-06-19,1,Production Started,2025-06-19 19:45:48,Order Approved → Production Started,8.41,24,False
ORD-0022,Production Started,2025-06-19 19:45:48,IN,CUST-IN-3200,MAT-10033,86,High,2025-06-19,1,Quality Check,2025-06-20 17:39:12,Production Started → Quality Check,21.89,48,False
ORD-0022,Quality Check,2025-06-20 17:39:12,IN,CUST-IN-3200,MAT-10033,86,High,2025-06-20,1,Shipping Started,2025-06-20 23:17:36,Quality Check → Shipping Started,5.64,24,False
ORD-0022,Shipping Started,2025-06-20 23:17:36,IN,CUST-IN-3200,MAT-10033,86,High,2025-06-20,1,Delivered,2025-06-22 02:39:12,Shipping Started → Delivered,27.36,72,False
ORD-0023,Order Created,2025-05-10 15:16:00,CN,CUST-CN-1832,MAT-10011,77,Normal,2025-05-10,0,Order Approved,2025-05-10 18:45:24,Order Created → Order Approved,3.49,12,False
ORD-0023,Order Approved,2025-05-10 18:45:24,CN,CUST-CN-1832,MAT-10011,77,Normal,2025-05-10,0,Production Started,2025-05-14 18:47:48,Order Approved → Production Started,96.04,24,True
ORD-0023,Production Started,2025-05-14 18:47:48,CN,CUST-CN-1832,MAT-10011,77,Normal,2025-05-14,0,Quality Check,2025-05-15 16:23:48,Production Started → Quality Check,21.6,48,False
ORD-0023,Quality Check,2025-05-15 16:23:48,CN,CUST-CN-1832,MAT-10011,77,Normal,2025-05-15,0,Shipping Started,2025-05-16 07:04:00,Quality Check → Shipping Started,14.67,24,False
ORD-0023,Shipping Started,2025-05-16 07:04:00,CN,CUST-CN-1832,MAT-10011,77,Normal,2025-05-16,0,Delivered,2025-05-17 09:58:00,Shipping Started → Delivered,26.9,72,False
ORD-0024,Order Created,2025-01-29 09:56:00,BR,CUST-BR-3442,MAT-10069,12,Normal,2025-01-29,0,Order Approved,2025-01-29 11:56:00,Order Created → Order Approved,2.0,12,False
ORD-0024,Order Approved,2025-01-29 11:56:00,BR,CUST-BR-3442,MAT-10069,12,Normal,2025-01-29,0,Production Started,2025-01-30 05:26:00,Order Approved → Production Started,17.5,24,False
ORD-0024,Production Started,2025-01-30 05:26:00,BR,CUST-BR-3442,MAT-10069,12,Normal,2025-01-30,0,Quality Check,2025-01-31 12:16:24,Production Started → Quality Check,30.84,48,False
ORD-0024,Quality Check,2025-01-31 12:16:24,BR,CUST-BR-3442,MAT-10069,12,Normal,2025-01-31,0,Shipping Started,2025-01-31 18:59:00,Quality Check → Shipping Started,6.71,24,False
ORD-0024,Shipping Started,2025-01-31 18:59:00,BR,CUST-BR-3442,MAT-10069,12,Normal,2025-01-31,0,Delivered,2025-02-02 05:50:00,Shipping Started → Delivered,34.85,72,False
ORD-0025,Order Created,2025-06-20 09:22:00,DE,CUST-DE-7658,MAT-10079,73,Normal,2025-06-20,0,Order Approved,2025-06-20 11:57:24,Order Created → Order Approved,2.59,12,False
ORD-0025,Order Approved,2025-06-20 11:57:24,DE,CUST-DE-7658,MAT-10079,73,Normal,2025-06-20,0,Production Started,2025-06-21 05:22:36,Order Approved → Production Started,17.42,24,False
ORD-0025,Production Started,2025-06-21 05:22:36,DE,CUST-DE-7658,MAT-10079,73,Normal,2025-06-21,0,Quality Check,2025-06-21 22:01:00,Production Started → Quality Check,16.64,48,False
ORD-0025,Quality Check,2025-06-21 22:01:00,DE,CUST-DE-7658,MAT-10079,73,Normal,2025-06-21,0,Shipping Started,2025-06-22 03:07:00,Quality Check → Shipping Started,5.1,24,False
ORD-0025,Shipping Started,2025-06-22 03:07:00,DE,CUST-DE-7658,MAT-10079,73,Normal,2025-06-22,0,Delivered,2025-06-23 11:14:48,Shipping Started → Delivered,32.13,72,False
ORD-0026,Order Created,2025-04-16 11:17:00,US,CUST-US-3608,MAT-10089,590,Normal,2025-04-16,0,Order Approved,2025-04-16 13:11:36,Order Created → Order Approved,1.91,12,False
ORD-0026,Order Approved,2025-04-16 13:11:36,US,CUST-US-3608,MAT-10089,590,Normal,2025-04-16,0,Production Started,2025-04-17 11:39:12,Order Approved → Production Started,22.46,24,False
ORD-0026,Production Started,2025-04-17 11:39:12,US,CUST-US-3608,MAT-10089,590,Normal,2025-04-17,0,Quality Check,2025-04-19 00:45:48,Production Started → Quality Check,37.11,48,False
ORD-0026,Quality Check,2025-04-19 00:45:48,US,CUST-US-3608,MAT-10089,590,Normal,2025-04-19,0,Shipping Started,2025-04-19 08:02:36,Quality Check → Shipping Started,7.28,24,False
ORD-0026,Shipping Started,2025-04-19 08:02:36,US,CUST-US-3608,MAT-10089,590,Normal,2025-04-19,0,Delivered,2025-04-21 03:21:48,Shipping Started → Delivered,43.32,72,False
ORD-0027,Order Created,2025-02-28 11:01:00,BR,CUST-BR-4164,MAT-10051,233,Normal,2025-02-28,0,Order Approved,2025-02-28 13:49:00,Order Created → Order Approved,2.8,12,False
ORD-0027,Order Approved,2025-02-28 13:49:00,BR,CUST-BR-4164,MAT-10051,233,Normal,2025-02-28,0,Production Started,2025-03-01 15:31:00,Order Approved → Production Started,25.7,24,True
ORD-0027,Production Started,2025-03-01 15:31:00,BR,CUST-BR-4164,MAT-10051,233,Normal,2025-03-01,0,Quality Check,2025-03-02 18:11:48,Production Started → Quality Check,26.68,48,False
ORD-0027,Quality Check,2025-03-02 18:11:48,BR,CUST-BR-4164,MAT-10051,233,Normal,2025-03-02,0,Shipping Started,2025-03-03 06:25:36,Quality Check → Shipping Started,12.23,24,False
ORD-0027,Shipping Started,2025-03-03 06:25:36,BR,CUST-BR-4164,MAT-10051,233,Normal,2025-03-03,0,Delivered,2025-03-04 18:26:12,Shipping Started → Delivered,36.01,72,False
ORD-0028,Order Created,2025-02-15 17:16:00,IN,CUST-IN-1626,MAT-10013,517,Normal,2025-02-15,0,Order Approved,2025-02-15 20:30:24,Order Created → Order Approved,3.24,12,False
ORD-0028,Order Approved,2025-02-15 20:30:24,IN,CUST-IN-1626,MAT-10013,517,Normal,2025-02-15,0,Production Started,2025-02-16 12:07:36,Order Approved → Production Started,15.62,24,False
ORD-0028,Production Started,2025-02-16 12:07:36,IN,CUST-IN-1626,MAT-10013,517,Normal,2025-02-16,0,Quality Check,2025-02-18 01:16:00,Production Started → Quality Check,37.14,48,False
ORD-0028,Quality Check,2025-02-18 01:16:00,IN,CUST-IN-1626,MAT-10013,517,Normal,2025-02-18,0,Shipping Started,2025-02-18 10:42:24,Quality Check → Shipping Started,9.44,24,False
ORD-0028,Shipping Started,2025-02-18 10:42:24,IN,CUST-IN-1626,MAT-10013,517,Normal,2025-02-18,0,Delivered,2025-02-20 13:15:24,Shipping Started → Delivered,50.55,72,False
