transition,average_duration_hours,transition_count,is_low_sample_transition
W_Valideren aanvraag → A_APPROVED,5.3,199,False
W_Afhandelen leads → A_CANCELLED,5.06,61,False
A_PREACCEPTED → A_ACCEPTED,4.93,1765,False
W_Valideren aanvraag → A_ACTIVATED,4.69,74,False
W_Afhandelen leads → W_Completeren aanvraag,4.63,1597,False
W_Valideren aanvraag → W_Nabellen offertes,4.37,1,True
W_Valideren aanvraag → O_SELECTED,4.32,64,False
W_Afhandelen leads → A_ACCEPTED,2.55,611,False
W_Valideren aanvraag → W_Nabellen incomplete dossiers,2.05,1988,False
W_Afhandelen leads → A_DECLINED,2.02,602,False
W_Valideren aanvraag → W_Beoordelen fraude,1.93,33,False
W_Completeren aanvraag → A_FINALIZED,1.86,19,True
A_PARTLYSUBMITTED → A_DECLINED,1.83,5301,False
W_Beoordelen fraude → A_PREACCEPTED,1.65,5,True
A_PARTLYSUBMITTED → A_PREACCEPTED,1.63,6959,False
W_Afhandelen leads → W_Afhandelen leads,1.61,369,False
W_Afhandelen leads → A_PREACCEPTED,1.0,403,False
W_Beoordelen fraude → W_Afhandelen leads,0.92,20,True
W_Beoordelen fraude → A_APPROVED,0.74,1,True
W_Beoordelen fraude → O_DECLINED,0.73,1,True
W_Beoordelen fraude → W_Valideren aanvraag,0.58,25,True
W_Beoordelen fraude → O_ACCEPTED,0.46,3,True
W_Beoordelen fraude → A_REGISTERED,0.4,1,True
W_Beoordelen fraude → O_SELECTED,0.38,1,True
W_Beoordelen fraude → A_ACTIVATED,0.38,1,True
W_Beoordelen fraude → W_Completeren aanvraag,0.31,2,True
A_ACCEPTED → W_Completeren aanvraag,0.19,74,False
A_APPROVED → W_Valideren aanvraag,0.09,275,False
O_CANCELLED → W_Nabellen offertes,0.09,512,False
A_ACCEPTED → A_CANCELLED,0.09,46,False
A_ACCEPTED → A_FINALIZED,0.06,2089,False
W_Valideren aanvraag → O_SENT_BACK,0.06,10,True
A_ACCEPTED → O_SELECTED,0.06,2879,False
A_CANCELLED → W_Completeren aanvraag,0.06,750,False
A_ACCEPTED → A_DECLINED,0.05,25,True
A_REGISTERED → W_Nabellen incomplete dossiers,0.01,58,False
O_SENT → W_Nabellen offertes,0.01,1619,False
O_SELECTED → O_CREATED,0.0,3149,False
A_FINALIZED → O_CREATED,0.0,2907,False
O_CANCELLED → O_CREATED,0.0,974,False
A_DECLINED → W_Nabellen incomplete dossiers,0.0,50,False
A_CANCELLED → W_Nabellen offertes,0.0,467,False
A_ACTIVATED → W_Nabellen incomplete dossiers,0.0,89,False
A_DECLINED → W_Completeren aanvraag,0.0,1113,False
A_DECLINED → W_Valideren aanvraag,0.0,348,False
A_DECLINED → W_Afhandelen leads,0.0,2234,False
A_ACTIVATED → W_Valideren aanvraag,0.0,941,False
O_SENT_BACK → W_Nabellen offertes,0.0,3254,False
A_REGISTERED → W_Valideren aanvraag,0.0,604,False
A_SUBMITTED → A_PARTLYSUBMITTED,0.0,13087,False
O_DECLINED → W_Valideren aanvraag,0.0,320,False
A_ACTIVATED → O_ACCEPTED,0.0,192,False
O_CREATED → O_SENT,0.0,7030,False
A_APPROVED → W_Nabellen incomplete dossiers,0.0,26,True
A_APPROVED → O_ACCEPTED,0.0,474,False
A_APPROVED → A_REGISTERED,0.0,682,False
A_APPROVED → A_ACTIVATED,0.0,789,False
O_DECLINED → A_DECLINED,0.0,419,False
O_DECLINED → W_Nabellen incomplete dossiers,0.0,36,False
A_ACTIVATED → A_REGISTERED,0.0,546,False
A_REGISTERED → O_ACCEPTED,0.0,332,False
A_ACTIVATED → A_APPROVED,0.0,478,False
O_SENT_BACK → W_Nabellen incomplete dossiers,0.0,200,False
O_SENT → W_Valideren aanvraag,0.0,205,False
O_SENT → W_Nabellen incomplete dossiers,0.0,191,False
O_SENT → W_Completeren aanvraag,0.0,5015,False
O_SELECTED → O_CANCELLED,0.0,974,False
O_SELECTED → A_FINALIZED,0.0,2907,False
A_CANCELLED → O_CANCELLED,0.0,864,False
O_CANCELLED → W_Valideren aanvraag,0.0,12,True
A_CANCELLED → W_Nabellen incomplete dossiers,0.0,57,False
O_CANCELLED → W_Nabellen incomplete dossiers,0.0,70,False
A_REGISTERED → A_APPROVED,0.0,581,False
A_REGISTERED → A_ACTIVATED,0.0,670,False
A_PREACCEPTED → W_Afhandelen leads,0.0,2515,False
O_ACCEPTED → A_ACTIVATED,0.0,566,False
O_ACCEPTED → A_APPROVED,0.0,654,False
A_FINALIZED → O_SELECTED,0.0,2108,False
O_ACCEPTED → A_REGISTERED,0.0,771,False
O_ACCEPTED → W_Nabellen incomplete dossiers,0.0,22,True
A_DECLINED → W_Nabellen offertes,0.0,21,True
O_ACCEPTED → W_Valideren aanvraag,0.0,230,False
O_CANCELLED → A_CANCELLED,0.0,767,False
A_DECLINED → W_Beoordelen fraude,0.0,57,False
O_CANCELLED → O_SELECTED,0.0,1041,False
A_DECLINED → O_DECLINED,0.0,383,False
A_CANCELLED → W_Valideren aanvraag,0.0,14,True
O_DECLINED → W_Nabellen offertes,0.0,27,True
